index,p_component_0,p_component_1,p_component_2
98,2.5816240276334556e-26,0.0,1.0
99,2.588545377050142e-33,1.0,0.0
100,2.534040944344878e-19,1.0,0.0
101,3.0484566309837956e-28,0.0,1.0
102,6.703745213975646e-24,0.0,1.0
103,2.252221058237281e-15,0.0,0.9999999999999964
104,5.7622494572766914e-52,0.0,1.0
105,0.9999038123791263,9.618762087357237e-05,0.0
106,5.256355188335067e-14,0.0,0.9999999999999467
107,5.188026404509034e-16,0.0,1.0
108,0.0,1.0,0.0
109,2.3248160131398482e-24,0.0,1.0
110,3.6338051099922564e-15,0.0,0.9999999999999964
111,7.234485401863149e-07,0.0,0.9999992765514604
112,1.0,0.0,5.345608810912178e-90
113,1.9047994155955867e-43,0.0,1.0
114,2.521510583951419e-22,0.0,1.0
115,1.4065744181089858e-19,0.0,1.0
116,1.0,0.0,2.5269786805478975e-29
117,7.101813779884369e-15,0.9999999999999929,0.0
118,1.4368402379856126e-31,1.0,0.0
119,6.42825737797441e-114,1.0,0.0
120,4.573314636981251e-33,0.0,1.0
121,1.0846946946960218e-118,1.0,0.0
122,0.0,1.0,0.0
123,1.0203451854024338e-28,0.0,1.0
124,1.5095164389067355e-12,0.0,0.9999999999984901
125,2.75277047375585e-18,0.0,1.0
126,2.3325597082533698e-18,1.0,0.0
127,2.259323746557679e-131,1.0,0.0
128,0.9999187570387418,0.0,8.124296125830313e-05
129,9.441092211403083e-150,1.0,0.0
130,7.309305519073679e-11,0.0,0.9999999999269065
131,3.0306210057520887e-13,0.999999999999698,0.0
132,3.330533036043928e-22,1.0,0.0
133,8.066777575853038e-35,0.0,1.0
134,7.303176356275983e-136,1.0,0.0
135,5.0921000165425726e-24,1.0,0.0
136,1.1791277453419166e-28,0.0,1.0
137,4.38437718418494e-17,0.0,1.0
138,7.857663124754928e-62,1.0,0.0
139,5.215209904275803e-14,0.0,0.9999999999999476
140,3.520570856707391e-23,0.0,1.0
141,7.323191128221534e-26,1.0,0.0
142,9.242388004753485e-18,0.0,1.0
143,4.524218616970641e-17,0.0,1.0
144,8.802387392969358e-22,0.0,1.0
145,2.800608589153159e-20,0.0,1.0
146,0.9999999595557597,4.0444240301096104e-08,0.0
147,0.9997902751888412,0.0,0.00020972481115887043
148,4.711309378468475e-19,0.0,1.0
149,1.087180297095433e-16,0.0,1.0
150,2.616379249670694e-75,0.0,1.0
151,1.0,0.0,2.248729232185802e-17
152,1.0,0.0,0.0
153,1.7404994362086413e-16,0.0,1.0
154,6.818359556950412e-27,0.0,1.0
155,2.087238712514783e-14,0.0,0.9999999999999787
156,6.718119897374285e-32,1.0,0.0
157,1.0935554782842644e-66,0.0,1.0
158,2.2741896023936038e-19,0.0,1.0
159,8.020907716227627e-34,0.0,1.0
160,7.956933258896219e-48,0.0,1.0
161,1.1153039279841157e-177,1.0,0.0
162,8.51909808271877e-266,1.0,0.0
163,6.355939473762245e-23,0.0,1.0
164,0.0,1.0,0.0
165,8.716271455028573e-19,0.0,1.0
166,6.63301786658099e-30,0.0,1.0
167,2.4555926723192122e-39,1.0,0.0
168,4.4713490341076577e-69,1.0,0.0
169,3.486181453849323e-18,0.0,1.0
170,2.6401020952285037e-14,0.0,0.9999999999999716
171,1.0143314973561861e-15,1.0,0.0
172,5.561147233015948e-26,1.0,0.0
173,3.7252206210242506e-40,0.0,1.0
174,1.3781016884600522e-50,0.0,1.0
175,1.828736617529085e-20,0.0,1.0
176,1.0,0.0,5.739885496632551e-50
177,1.6090427477301493e-68,1.0,0.0
178,3.6556085398813497e-19,0.0,1.0
179,9.571664356690972e-16,0.0,1.0
180,0.0,1.0,0.0
181,8.604547737053651e-255,1.0,0.0
182,2.451082167666026e-28,1.0,0.0
183,1.0056783890353656e-08,0.0,0.9999999899432161
184,2.990872813440171e-57,1.0,0.0
185,7.054111637296858e-25,0.0,1.0
186,1.2044017361526795e-171,1.0,0.0
187,4.171343080999314e-12,0.0,0.9999999999958291
188,4.143503058477638e-25,0.0,1.0
189,3.202965024933023e-17,0.0,1.0
190,1.0,3.2613328159068687e-31,0.0
191,2.687383598763044e-19,0.0,1.0
192,2.0108399056395e-311,0.0,1.0
193,8.355503406307552e-24,1.0,0.0
194,6.106488157476157e-21,1.0,0.0
195,3.3625993369845493e-17,0.0,1.0
196,2.8575906101279323e-13,0.999999999999714,0.0
197,4.1879117829946263e-95,1.0,0.0
198,8.66126131813632e-107,1.0,0.0
199,4.965273729889333e-34,1.0,0.0
200,1.7230235568511004e-17,0.0,1.0
201,1.2401480479730139e-104,1.0,0.0
202,0.0,1.0,0.0
203,0.9999002923039907,9.970769600945049e-05,0.0
