factor,rank,feature,weight,abs_weight,direction
Factor2,13,MYL9,0.6859195219506945,0.6859195219506945,positive
Factor2,14,CTTN,0.6785144673688535,0.6785144673688535,positive
Factor2,15,ACRBP,0.678513062651727,0.678513062651727,positive
Factor2,16,CD9,0.6636980532328468,0.6636980532328468,positive
Factor2,17,HIST1H2AC,0.6513129707850828,0.6513129707850828,positive
Factor2,18,NRGN,0.6336524476385281,0.6336524476385281,positive
Factor2,19,AC147651.1,0.6193473481329175,0.6193473481329175,positive
Factor2,20,MPIG6B,0.612057225852825,0.612057225852825,positive
Factor3,1,CD79A,0.7710884422623727,0.7710884422623727,positive
Factor3,2,IGHM,0.7516670355741428,0.7516670355741428,positive
Factor3,3,MS4A1,0.7475837880588172,0.7475837880588172,positive
Factor3,4,BANK1,0.7304961455296132,0.7304961455296132,positive
Factor3,5,IGHD,0.7114381717138595,0.7114381717138595,positive
Factor3,6,CD79B,0.6851253048683238,0.6851253048683238,positive
Factor3,7,LINC00926,0.6809027300841701,0.6809027300841701,positive
Factor3,8,CD22,0.6713506785108663,0.6713506785108663,positive
Factor3,9,TCL1A,0.6429419901870346,0.6429419901870346,positive
Factor3,10,TNFRSF13C,0.6368081176941263,0.6368081176941263,positive
Factor3,11,HLA-DQA1,0.6363008253554465,0.6363008253554465,positive
Factor3,12,RALGPS2,0.6270790451650913,0.6270790451650913,positive
Factor3,13,IGKC,0.6111430776200948,0.6111430776200948,positive
Factor3,14,VPREB3,0.6048279795609504,0.6048279795609504,positive
Factor3,15,FAM129C,0.5979382005638404,0.5979382005638404,positive
Factor3,16,HLA-DQB1,0.5904002449166127,0.5904002449166127,positive
Factor3,17,BCL11A,0.5889667966743188,0.5889667966743188,positive
Factor3,18,PDLIM1,0.5746430278294135,0.5746430278294135,positive
Factor3,19,SPIB,0.5730258960274097,0.5730258960274097,positive
Factor3,20,FCER2,0.5631993644332632,0.5631993644332632,positive
Factor4,1,GNLY,0.7784673483969013,0.7784673483969013,positive
Factor4,2,KLRF1,0.7496507945903362,0.7496507945903362,positive
Factor4,3,NKG7,0.7392175705428541,0.7392175705428541,positive
Factor4,4,KLRD1,0.7354492217473345,0.7354492217473345,positive
Factor4,5,PRF1,0.728412018909802,0.728412018909802,positive
Factor4,6,GZMB,0.7062115366366348,0.7062115366366348,positive
Factor4,7,SPON2,0.7027378252269442,0.7027378252269442,positive
Factor4,8,FGFBP2,0.6962156481427306,0.6962156481427306,positive
Factor4,9,CST7,0.6815669303797162,0.6815669303797162,positive
