0,1,2
1.0,0.0,6.342738868353113e-51
2.5219025926313314e-14,0.0,0.9999999999999751
2.360914896233487e-24,0.0,1.0
0.9999999999999991,4.855653943072465e-16,0.0
4.2733523677360515e-19,0.0,1.0
2.8425123452823366e-15,0.0,0.9999999999999964
1.7687507123227517e-07,0.0,0.9999998231249286
4.62033255665947e-20,0.0,1.0
2.0655381863692602e-17,0.0,1.0
1.7815009404238938e-50,1.0,0.0
3.2516395287493077e-17,0.0,1.0
2.648172854174882e-19,0.0,1.0
0.9999999999991793,0.0,8.203722650329377e-13
6.775035514648365e-202,1.0,0.0
6.822529609330582e-16,0.0,1.0
1.8130512228631497e-48,0.0,1.0
3.911064422043387e-29,1.0,0.0
2.870615885056e-312,1.0,0.0
1.118724186989566e-22,0.0,1.0
1.0878484027296383e-27,0.0,1.0
2.6820214292318863e-14,0.0,0.9999999999999716
3.987795616401095e-11,0.0,0.9999999999601208
2.417281739224554e-15,0.0,0.9999999999999964
2.7627327441850473e-15,0.0,0.9999999999999964
2.1700275138133794e-42,1.0,0.0
3.83591151921508e-27,0.0,1.0
2.1374420249639166e-08,0.0,0.999999978625578
5.416165412897246e-14,0.0,0.9999999999999467
1.3486293878079836e-19,0.0,1.0
2.473006152389329e-14,0.0,0.9999999999999751
1.0245002607369938e-42,0.0,1.0
0.9999999884661054,0.0,1.1533894756255942e-08
4.456224633305597e-73,1.0,0.0
2.9980320455903187e-13,0.0,0.9999999999997016
1.3992765148627651e-93,0.0,1.0
1.1136097840627746e-19,0.0,1.0
8.313528729022354e-21,0.0,1.0
1.8354044325632112e-24,0.0,1.0
2.1371913122439472e-27,1.0,0.0
4.530842943705101e-20,0.0,1.0
7.223657210035217e-51,0.0,1.0
8.193023293189918e-242,1.0,0.0
2.4892089145185003e-40,0.0,1.0
5.834159279144345e-24,0.0,1.0
3.706015945705583e-16,0.0,1.0
1.0,0.0,4.9304301388137904e-23
4.157433361838338e-14,0.0,0.9999999999999574
1.0354945283352972e-15,0.0,1.0
7.88694243446776e-49,0.0,1.0
3.913601177472629e-17,0.0,1.0
7.960835667330389e-12,0.0,0.9999999999920384
1.601107099313472e-18,0.0,1.0
7.537872952962708e-16,0.0,1.0
2.973390480400891e-15,0.0,0.9999999999999964
0.9680757148784459,0.03192428512155415,0.0
3.2641169065143545e-17,0.0,1.0
2.599165124162387e-298,1.0,0.0
5.256375222687146e-88,1.0,0.0
