Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
0.4962998793825191,0.0027274343789604116,-0.0575091432788311,9.292059013974627e-05,0.00032196600357947697,-0.22866198581470215,-5.4871278772640806e-05,0.0006423149386365675,0.05525110078640122,0.060641174841820224
-0.03642508580338467,-0.0006790409954906,-0.00013722011687465548,0.06811147618765567,7.60101340170586e-05,3.1707719798774295e-05,-6.59879230881372e-05,2.631627306028331e-05,-7.768352602715073e-05,0.00011982907174649674
0.0012214323141074384,-0.0416128556225736,0.00014771791493140834,0.001278846115599017,8.414164133168109e-05,4.5250465662195255e-05,5.639147474639986e-06,7.131203417634605e-05,-0.0003664727502763611,-0.00011297409624512508
4.3247430288147724e-05,-2.0423933507873186e-05,-0.006392225926929979,0.018122075112424134,-1.0536740640190659e-05,-3.838922348131673e-05,1.5886903762650526e-05,1.5869128082214055e-05,-3.6238699202139025e-05,1.5612119868740458e-05
0.04293756990825078,0.03893596987321182,0.005255877584597996,-1.0451897604634663e-05,-4.569267706117431e-05,3.1523718336014474e-05,2.477423155981187e-05,0.0003144225132727578,-4.686926091232098e-06,-3.74837057083435e-06
0.09656474418568628,0.060540408521718214,-1.1764248251018876e-05,0.006736416556029283,-1.299833138156273e-05,-6.627299311485894e-06,8.046101374115645e-05,0.0028814699800161193,-1.386671013043727e-05,0.00013590466193490915
0.5198902809897817,-0.05059371919356399,-0.18789585922226223,0.021665369457104674,-1.5692639912022807e-05,0.23833351111756138,0.04102287898290711,0.0002052309189469398,-0.01027727970335039,-0.00012161861390443898
-0.15911356959194406,0.17099886105628015,-0.1157536146359035,0.1298810901999673,-3.713019155652949e-06,7.973028479956749e-06,-0.08803723215181407,0.11202899725481046,-2.8073733056091778e-05,-0.0014832039518680989
0.12386284182072807,-0.0005342626249135556,-0.026540353061492543,3.069831778405273e-06,-1.6926679594989364e-05,0.06732312445645536,-1.3196824367499555e-05,-1.1000465750654655e-05,-0.09480697408387595,-0.09104296200768648
0.36515634571108796,0.02998129573194195,-0.3606082325102721,0.5158130608312631,-1.4270218737673843e-05,0.04522727108597516,0.047416583872239806,1.5033793968863828e-05,-0.03442839846304335,-0.0336374438555106
0.034510103938141294,0.07085973638066208,0.02608556096768707,0.027627951920469667,6.334183225703876e-05,-3.769985754037206e-06,-1.5925715681692404e-05,0.0379899904743242,0.0001835899965790944,9.1505509749855e-06
-0.08874783597001416,-0.000510210814227601,-0.00036324959766115516,-0.06049543214404072,-4.003369919689898e-06,5.4384549814068805e-06,-0.01568585798338201,3.833308764960702e-05,-0.0007202638694545208,6.777895472052852e-05
0.2921824100011285,0.04894786719705001,-0.0005294414544074578,-0.0002398165605263438,-0.00012237943666524228,-0.29238747993160247,-0.00047343130629834684,-1.0531080856149556e-05,0.17226096093379176,0.15220479776458276
0.2626740699699052,-0.02411251165145767,-0.04535358879315729,1.086061100110733e-05,-0.0006934183166148558,-0.023278665713084835,1.9037501368411194e-06,4.690819587387804e-05,-0.06230063113738526,-0.05691782250370799
-0.06491111517030507,0.00047195200243538505,-0.06593090520592555,-1.5981649637264256e-05,0.0001700030418743992,-4.026366579661119e-05,0.005570187163734284,0.00011040499607137432,-0.0001005881109130996,1.0342980853655503e-05
-0.06691847533632721,0.0013155765491861214,-0.05625601210712371,-5.516705997989016e-06,-1.491651222559549e-06,-3.169197524826173e-05,0.14570421719698995,-3.384608867390585e-05,2.7121109201223256e-05,1.7267722354465386e-05
0.5493253512089418,-0.05419997282612781,-0.10795996602196192,-1.2543326701706954e-05,-0.04536198536068471,-0.12653946878431405,8.063210631481909e-06,8.653867769725751e-05,0.14597238816183025,0.1117039225273876
0.15489942511659252,0.004431497886672682,0.04958506140823119,0.1249822113392236,0.0035868067421161044,-0.11629447486349473,-1.6031455971622638e-05,0.0004327636871682726,-6.63996839135341e-05,-2.2095081796467766e-05
0.09722818483742925,2.763704278015128e-05,-0.034429276208858085,-2.564606542149992e-05,-4.201234136673391e-06,0.3392907579939011,2.6994246134589963e-06,0.020793566976027935,0.046406085067349535,0.0006996942316287853
0.03598771324018074,-1.5756737968566545e-05,-0.009253341605261348,-5.7383557490951944e-05,2.4524943109035797e-06,0.13292581291059358,-2.2966384650744955e-06,5.1392893766483974e-06,0.013163524422369373,4.115065058260182e-05
-0.047852156552304556,-0.003821937586343425,0.008527765240645918,5.481478991912468e-05,4.620879222188833e-06,-4.810267611235012e-06,-0.006624568509595613,-1.8295064280519075e-06,-1.2623197419697266e-06,-0.0011999078856299774
0.07840479460459258,-0.00011755445501320099,-0.0026763259359117077,2.3084168618643894e-05,0.0004911774465812295,0.025268912223079115,-2.946602967328769e-05,9.851236367144476e-06,-0.02332784302986374,-2.759150342288826e-05
-0.13241044523182305,-0.11305681645388745,0.2234852435723185,-0.0672622608665168,-0.04980966873372863,9.657316877776262e-07,-0.1037541369576537,2.082499025129341e-05,-0.03132286300596503,0.005778493068098567
-0.0712388488601653,-0.10422897904730052,0.24647621343942003,0.16644861531036637,-0.0427893030916391,-7.294881704405978e-06,0.04725420094284828,-6.4520703029567835e-06,-3.176207854463196e-05,0.04309135242887774
-0.2860061491520437,-0.005746350714215161,-0.09793976777223637,-0.3873158883175365,2.0462705133203653e-05,-0.013835883374232758,-0.10191133331352102,0.03675663669390837,5.3350591885834e-06,-0.05615946902031261
0.11986641653545235,0.02928423347078336,0.20327829926346272,0.05730974473154243,-0.0007529394923760737,-0.027151639356742308,-8.812462579688588e-06,0.058994994080716824,-0.00021374780868847835,-9.083355022982276e-06
-0.19991421942975976,0.03505607166285848,-0.20213273115711586,0.30154559028546185,-5.133620324455822e-05,0.11980270637391764,0.003137238898844878,0.00012748641545405948,-0.048910060565394785,1.6980213921283753e-05
-0.0093629643620117,0.07717415638615012,0.029953173032773187,-0.00018142330154972744,-2.959484484705062e-05,1.2567116646620798e-06,0.0001305208690793622,0.04235455530498996,1.224082149374208e-06,1.2992163440147293e-05
-0.2049024545313047,0.1942159349489826,-0.057145141983905974,-0.2557744596177395,-0.00013999956476300137,-6.768309920090482e-05,-0.11600708793112316,0.129336869002692,8.054124410731293e-06,-0.016976669671941773
0.07720742054254945,0.10969607325380858,0.02277811455405521,0.0012913723780547505,-2.8420011348451725e-05,0.00014629214076591844,-0.003667288500340797,0.07173808602687708,-0.0003323098813696271,-6.399904471917653e-05
-0.1437979640857276,-0.023069861481368945,0.038811473821054945,0.020227642781474223,0.31308084335180847,6.27931677735265e-05,-0.0612840391429512,6.946768295090459e-05,0.00019855162611052247,-0.03460615339125865
-0.05458660530477855,0.01381985626347162,-0.0887458562473724,0.15182723707623702,0.1643784047200295,-0.00015822395274747104,-0.0005085931955232017,2.9578906429645965e-05,-2.668489017164269e-05,-0.0005342820521260429
0.278512742265419,0.11756596069816154,-0.03728076198790816,-0.03147377267893712,-0.0011295688111724812,-0.031880384535034174,0.01765394206241153,0.07417073463834738,-0.00040847232015647913,-2.1468737496410765e-05
-0.050310360890197414,0.003279079290367201,-0.053218882900537876,0.058950927062790294,-1.5086626569249993e-06,-8.325791792741553e-06,0.006028989978146136,2.1360373497332836e-05,-0.00010667459688738461,-0.0004651895312655314
0.04709269849925471,-6.256684412409747e-05,-0.1371517258683108,-0.000991891630778675,-0.0010692076344720747,0.04230269654065007,4.9416982522142756e-05,0.00013013459134904063,-0.03973138819040355,-0.0421233875733103
-0.05405860188724275,-0.009101762905967406,0.029619154658837223,0.04789893423196803,0.03246415450327983,2.215354803402637e-05,-0.0013823354492408118,7.835051543846302e-05,-7.526391443017882e-05,9.273469775548957e-07
-0.0016755051474110977,0.2064934978819776,0.0033163258374165586,0.10166565574596326,0.0004303740124705864,0.000540889244542724,-0.023673666830598707,0.06720389771801588,-8.144113038770968e-05,-3.3574838058477365e-05
1.0377726828972216e-05,0.13248940180566077,0.05505525433038576,-2.0852546624127827e-06,2.6418261061890784e-05,-5.859524120488698e-07,-5.267875867018873e-06,0.14097710626386736,3.151214110077227e-06,1.6770390229812094e-05
-0.08361208746164316,0.07742371215415143,-0.053140318556804386,0.22759187976068915,0.004836129694577825,-6.160206558488575e-06,-0.10890274319516376,0.0019073697242297243,-0.018537859106649242,-0.00042092925416664396
-0.0008787059167642099,-0.0008151525262201581,0.0006442167829530629,7.01497655824319e-05,2.7533976714493808e-05,2.5731583283142024e-06,0.00010266568574225178,3.821000890768872e-05,-0.0001357779853068216,1.2203003014641683e-05
0.15143361011128356,0.13260624420864886,-0.0313734330393591,0.03156504502460929,-0.00012437131139807938,-0.007248549114825806,0.09099609342818422,0.12906231571974025,-0.0621591573531401,-0.057329972863214354
0.6243211235881482,-0.06586510820124286,-0.11427059003770171,-1.458159289806442e-05,-0.053249096275110444,-0.29725707140226904,4.617538308695599e-06,4.636850527234317e-06,-1.080060726419382e-05,-1.9101870175403588e-05
-0.059019260823384295,0.09319629794901366,-0.03390321087798488,0.004428473759161948,6.071338146327279e-07,-0.00019477786401901075,0.01008568356864483,0.08090005418869065,-7.89279408634417e-06,-1.7169860863919593e-05
-0.055373506395421025,2.4614079662717637e-05,-0.021327023877463058,-0.02972663708938328,-1.744986230355613e-05,5.0824889900379054e-05,0.01147826793365197,1.293753979756228e-05,-6.131548387127834e-05,5.786255358691905e-06
-0.03753056029709717,-0.0038437981406501073,0.00023758166249471195,-0.00011739807504826348,0.012833487479960234,0.00030871791415511317,0.004492037636394777,1.5508113569890476e-05,-0.0001558111403746685,-0.00014965640913685007
-0.04127937378601482,0.13648980908682767,0.03639157366918455,-0.005074028951632801,0.10926834891366398,0.0010929898059488347,0.00040308022927220403,0.11881454457921631,-0.002075688776368533,0.0002473859273575312
-0.03237243886033045,-2.778913683982952e-05,-0.00019369657305344347,-0.005778798060151798,2.8352446179550316e-05,-3.467226667916585e-06,-5.229961427065687e-06,8.703780043819003e-06,1.5807676322135384e-05,-5.140522933380649e-06
